t,true_px,true_py,meas_px,meas_py,est_px,est_py
3.95,10.3993,10.2759,10.5531,10.1013,10.3402,10.3518
3.96,10.4293,10.3365,10.0862,10.6074,10.3323,10.4483
3.97,10.4592,10.396,11.0935,10.5218,10.4504,10.5226
3.98,10.4892,10.4545,10.4182,10.3128,10.4715,10.5616
3.99,10.5192,10.5121,10.7164,10.0241,10.527,10.5589
4,10.5492,10.5687,11.2806,10.7106,10.6465,10.6405
4.01,10.5792,10.6243,10.7056,11.1637,10.6814,10.7687
4.02,10.6092,10.679,10.9926,9.42273,10.7478,10.6649
4.03,10.6391,10.7326,10.9571,10.4085,10.8023,10.6931
4.04,10.6691,10.7853,10.8638,10.745,10.8388,10.759
4.05,10.6991,10.837,10.6869,10.6969,10.8487,10.8106
4.06,10.7291,10.8877,10.4472,10.8392,10.827,10.8731
4.07,10.7591,10.9374,10.9357,10.9055,10.8678,10.936
