t,true_x,true_y,true_theta,est_x,est_y,est_theta
32.5,-1.06236,6.47547,-2.78637,-1.02655,6.54489,-2.79408
32.6,-1.15612,6.44069,-2.75637,-1.11339,6.51875,-2.76407
32.7,-1.24879,6.40311,-2.72637,-1.21643,6.46039,-2.73423
32.8,-1.34029,6.36277,-2.69637,-1.29744,6.42321,-2.70429
32.9,-1.43055,6.31971,-2.66637,-1.40967,6.40711,-2.67409
33,-1.51946,6.27395,-2.63637,-1.48017,6.36428,-2.64408
33.1,-1.60697,6.22555,-2.60637,-1.56257,6.35521,-2.61418
33.2,-1.69299,6.17455,-2.57637,-1.66109,6.32092,-2.58426
33.3,-1.77743,6.12099,-2.54637,-1.73283,6.21004,-2.55399
33.4,-1.86024,6.06492,-2.51637,-1.82329,6.16567,-2.52383
33.5,-1.94132,6.00639,-2.48637,-1.90807,6.08928,-2.49371
33.6,-2.02061,5.94546,-2.45637,-2.00263,6.02616,-2.46406
33.7,-2.09804,5.88218,-2.42637,-2.10515,5.9505,-2.43416
33.8,-2.17353,5.8166,-2.39637,-2.17945,5.91212,-2.40399
33.9,-2.24703,5.74878,-2.36637,-2.25588,5.84007,-2.37402
34,-2.31845,5.6788,-2.33637,-2.31942,5.74125,-2.34377
34.1,-2.38775,5.6067,-2.30637,-2.41551,5.64281,-2.31426
34.2,-2.45485,5.53255,-2.27637,-2.47883,5.55706,-2.28449
34.3,-2.5197,5.45643,-2.24637,-2.54793,5.49501,-2.25492
34.4,-2.58223,5.37839,-2.21637,-2.61265,5.48405,-2.22537
34.5,-2.6424,5.29852,-2.18637,-2.67027,5.39101,-2.19552
34.6,-2.70014,5.21688,-2.15637,-2.74247,5.3122,-2.166
34.7,-2.75541,5.13354,-2.12637,-2.81372,5.21558,-2.13582
34.8,-2.80815,5.04858,-2.09637,-2.85406,5.07621,-2.10535
34.9,-2.85832,4.96207,-2.06637,-2.90672,4.99287,-2.07488
35,-2.90588,4.8741,-2.03637,-2.96223,4.91428,-2.0451
35.1,-2.95077,4.78475,-2.00637,-3.00759,4.85609,-2.01517
35.2,-2.99296,4.69408,-1.97637,-3.0698,4.71935,-1.98477
35.3,-3.03242,4.6022,-1.94637,-3.11917,4.61607,-1.95543
35.4,-3.0691,4.50917,-1.91637,-3.14126,4.51949,-1.92507
35.5,-3.10297,4.41508,-1.88637,-3.14372,4.4677,-1.89535
35.6,-3.13401,4.32002,-1.85637,-3.20851,4.37829,-1.86542
35.7,-3.16218,4.22407,-1.82637,-3.27134,4.3037,-1.83615
35.8,-3.18746,4.12731,-1.79637,-3.25625,4.23273,-1.80631
35.9,-3.20983,4.02985,-1.76637,-3.29274,4.11557,-1.77629
36,-3.22926,3.93175,-1.73637,-3.2869,4.05113,-1.74656
36.1,-3.24574,3.83312,-1.70637,-3.31206,3.97106,-1.7164
36.2,-3.25926,3.73404,-1.67637,-3.29564,3.87294,-1.68635
36.3,-3.26979,3.6346,-1.64637,-3.28124,3.76065,-1.65677
36.4,-3.27734,3.53488,-1.61637,-3.28738,3.62849,-1.62646
36.5,-3.2819,3.43499,-1.58637,-3.26343,3.55147,-1.5967
36.6,-3.28346,3.335,-1.55637,-3.26562,3.41346,-1.56713
36.7,-3.28202,3.23501,-1.52637,-3.25474,3.32883,-1.53712
36.8,-3.27757,3.13511,-1.49637,-3.2518,3.22291,-1.50653
36.9,-3.27014,3.03538,-1.46637,-3.26718,3.1127,-1.4765
37,-3.25971,2.93593,-1.43637,-3.2475,3.02773,-1.44637
37.1,-3.24631,2.83683,-1.40637,-3.22975,2.93787,-1.41623
37.2,-3.22994,2.73818,-1.37637,-3.19596,2.84422,-1.38638
37.3,-3.21062,2.64006,-1.34637,-3.16988,2.75742,-1.35659
37.4,-3.18837,2.54257,-1.31637,-3.1453,2.65965,-1.32644
37.5,-3.1632,2.44579,-1.28637,-3.11071,2.5716,-1.29663
37.6,-3.13514,2.34981,-1.25637,-3.07626,2.48723,-1.26624
37.7,-3.10421,2.25471,-1.22637,-3.03988,2.38593,-1.23633
37.8,-3.07045,2.16058,-1.19637,-3.02141,2.27972,-1.20635
37.9,-3.03387,2.06751,-1.16637,-2.98881,2.17392,-1.176
38,-2.99452,1.97558,-1.13637,-2.96671,2.06444,-1.14655
38.1,-2.95244,1.88487,-1.10637,-2.93308,1.96964,-1.1169
38.2,-2.90764,1.79546,-1.07637,-2.95769,1.87144,-1.08736
38.3,-2.86019,1.70744,-1.04637,-2.9502,1.76519,-1.05758
38.4,-2.81012,1.62087,-1.01637,-2.87801,1.66371,-1.0272
38.5,-2.75747,1.53585,-0.986371,-2.83929,1.58622,-0.997277
38.6,-2.7023,1.45245,-0.956371,-2.79041,1.52433,-0.966873
38.7,-2.64465,1.37074,-0.926371,-2.71073,1.439,-0.936729
