t,true_px,true_py,meas_px,meas_py,est_px,est_py
3.72,3.72,1.86,4.15487,2.38856,3.86521,1.86886
3.73,3.73,1.865,3.05083,1.63028,3.80737,1.85269
3.74,3.74,1.87,3.23964,2.79698,3.76917,1.93729
3.75,3.75,1.875,4.30151,2.45071,3.82408,1.98667
3.76,3.76,1.88,3.82032,2.53605,3.83404,2.04002
3.77,3.77,1.885,3.76588,2.56458,3.83846,2.09219
3.78,3.78,1.89,3.70565,1.55038,3.83721,2.05404
3.79,3.79,1.895,4.69548,1.88458,3.9205,2.04677
3.8,3.8,1.9,3.3506,1.44518,3.88309,2.00223
3.81,3.81,1.905,3.35671,2.32722,3.84838,2.03589
3.82,3.82,1.91,3.77057,3.05898,3.85111,2.12984
3.83,3.83,1.915,4.42309,2.04357,3.90927,2.13065
3.84,3.84,1.92,4.54195,1.67225,3.97361,2.09946
3.85,3.85,1.925,2.92261,1.43021,3.895,2.04941
3.86,3.86,1.93,3.9336,1.81873,3.90774,2.0357
3.87,3.87,1.935,4.28221,1.87269,3.94927,2.02737
3.88,3.88,1.94,4.25402,2.69049,3.98547,2.08941
3.89,3.89,1.945,3.82615,2.22257,3.98248,2.10727
3.9,3.9,1.95,3.02261,1.88805,3.9107,2.0952
3.91,3.91,1.955,3.29402,2.02761,3.86659,2.09571
3.92,3.92,1.96,4.038,2.07634,3.8888,2.10021
3.93,3.93,1.965,3.68994,3.11423,3.87962,2.19307
3.94,3.94,1.97,3.30599,1.30543,3.83801,2.12501
3.95,3.95,1.975,4.77749,1.62286,3.92484,2.08835
3.96,3.96,1.98,3.48765,3.13146,3.89552,2.18301
3.97,3.97,1.985,4.46286,1.68777,3.95136,2.14787
3.98,3.98,1.99,4.08875,2.96294,3.9714,2.22395
3.99,3.99,1.995,4.33581,2.63807,4.01108,2.26715
4,4,2,4.4024,2.46513,4.05369,2.29256
4.01,4.01,2.005,4.02987,2.01067,4.06145,2.27725
4.02,4.02,2.01,4.15353,2.37723,4.07906,2.29409
4.03,4.03,2.015,3.88834,2.07603,4.07262,2.28389
4.04,4.04,2.02,3.88483,2.07784,4.06608,2.27432
4.05,4.05,2.025,3.4245,3.32799,4.02037,2.37214
4.06,4.06,2.03,3.69353,1.84927,4.00044,2.33691
4.07,4.07,2.035,3.66037,2.34285,3.9788,2.346
4.08,4.08,2.04,3.982,1.5581,3.98591,2.28716
4.09,4.09,2.045,4.41844,2.44082,4.02975,2.30748
4.1,4.1,2.05,4.06656,1.71819,4.04048,2.26449
4.11,4.11,2.055,5.20553,2.22503,4.14778,2.2675
4.12,4.12,2.06,3.48297,2.76702,4.10055,2.31654
4.13,4.13,2.065,3.70211,3.43594,4.07494,2.41947
4.14,4.14,2.07,4.17983,2.57666,4.09167,2.44203
4.15,4.15,2.075,3.10999,1.43293,4.01561,2.36507
4.16,4.16,2.08,4.82693,2.23891,4.09121,2.36186
4.17,4.17,2.085,5.1912,2.32759,4.19292,2.36627
4.18,4.18,2.09,4.25265,2.94679,4.20754,2.42321
4.19,4.19,2.095,4.69507,1.99687,4.25884,2.39501
4.2,4.2,2.1,3.65295,0.914192,4.21744,2.27584
4.21,4.21,2.105,3.99117,1.51183,4.20743,2.21539
4.22,4.22,2.11,5.51885,1.78481,4.32856,2.18212
4.23,4.23,2.115,3.89115,1.35438,4.30235,2.1141
4.24,4.24,2.12,4.10684,1.78773,4.29605,2.08753
4.25,4.25,2.125,5.11886,2.20924,4.37651,2.09873
4.26,4.26,2.13,4.25557,2.06266,4.37765,2.09663
4.27,4.27,2.135,4.66309,1.90884,4.41332,2.08149
